站号,站名,纬度,经度,海拔高度
Z9022,根河,50.704,121.525,1058
Z9048,兴国,26.478,115.400,1240
Z9049,响水,34.419,119.896,56
Z9480,鄂托克,38.988,108.059,1459
Z9533,淄博,36.815,118.088,206
Z9733,株洲,26.793,113.480,747
Z9738,娄底,27.671,111.993,331
Z9756,澳门,22.027,113.370,255
Z9853,安顺,26.289,105.981,1546
Z9901,塔城,46.862,83.094,792
Z9906,阿勒泰,47.072,87.482,566
Z9913,渭南,35.457,110.276,1206
Z9922,定边,37.681,107.669,1418
Z9932,定西,35.600,104.705,2262
Z9955,中卫,37.631,105.299,1359
Z9073,万宁,18.736,110.362,330
QZSNB,宁波机场,29.826,121.467,69
ZA601,龙凤桥,29.772,106.428,717
QZBHT,未知机场,40.859,111.821,50
QZSHC,未知机场,30.220,120.430,39
QZSQD,未知机场,36.320,120.090,47
QZBHH,未知机场,40.859,111.821,50
